======================================================================
  AGENCY  –  PER DISCIPLINA
======================================================================

Disciplina            Concept%  AuthorID%  SrcAttr%  Imperso%   Data%  Other%
--------------------------------------------------------------------------
AS_Gus                    57.0        3.7       5.7       8.5     0.5    24.5
CILE_Pol                  56.0        6.0       2.4       9.8     0.1    25.9
CLA_Pol                   54.0        5.6       7.4       9.2     0.5    23.4
CPH_Mor                   54.7        4.3       3.1       9.4     0.0    28.5
DEIC_San                  61.5        3.4       4.3       6.8     2.6    21.4
ELClass_Zot               54.0       10.3       2.8       6.6     0.0    26.3
ELSPS_Zot                 45.0       10.0       4.2      10.9     0.0    29.9
EOK_Geu                   52.8        5.8       9.6       7.0     1.4    23.3
GLD_Gog                   47.8        8.0      13.5       6.0     0.3    24.4
NAL_Car                   46.0        1.0      20.4       3.0     0.0    29.6
NAL_DiL                   27.7       11.9       8.8       6.7     0.0    44.8
SCSA_Bon                  53.9       10.5       2.9       9.5     0.2    22.9
