======================================================================
  FORMULE ACCADEMICHE  –  PER DOCUMENTO
======================================================================

Documento                                       Totale  Den/1000t
------------------------------------------------------------------
ALSPS_Zot_AS1_P147                                   2       2.40
ALSPS_Zot_AS1_P149                                   1       5.85
ALSPS_Zot_AS1_P152                                   4       8.21
ALSPS_Zot_AS2_P148                                   4       6.19
ALSPS_Zot_AS2_P155                                   4       5.67
ALSPS_Zot_AS3_P150                                   0       0.00
ALSPS_Zot_AS3_P151                                   3       6.49
ALSPS_Zot_AS3_P153                                   3       5.51
ALSPS_Zot_AS4_P154                                   1       2.24
ALSPS_Zot_AS4_P156                                   6       6.37
AS_Gus_AS1_P171                                      4       2.29
AS_Gus_AS1_P43                                       4       2.15
AS_Gus_AS1_P44                                       0       0.00
AS_Gus_AS1_P46                                       5       2.89
AS_Gus_AS1_P47                                       6       3.25
AS_Gus_AS1_P48                                       2       1.24
AS_Gus_AS1_P51                                      13       6.88
AS_Gus_AS1_P52                                       7       3.62
AS_Gus_AS1_P53                                       2       1.11
AS_Gus_AS2_P44_P45                                   5       1.13
AS_Gus_AS2_P46_P47                                   3       0.64
AS_Gus_AS2_P48_P49_P50                              15       1.75
AS_Gus_AS2_P51_P52                                   6       1.46
AS_Gus_AS2_P53_P171                                 10       2.50
CILE_Pol_AS1_P110                                    2       2.47
CILE_Pol_AS1_P111                                    3       4.98
CILE_Pol_AS1_P112                                    1       1.93
CILE_Pol_AS1_P113                                    2       3.15
CILE_Pol_AS1_P114                                    0       0.00
CILE_Pol_AS1_P115                                    1       1.79
CILE_Pol_AS1_P116                                    2       1.95
CILE_Pol_AS1_P117                                    3       3.96
CILE_Pol_AS1_P118                                    1       1.44
CILE_Pol_AS1_P119                                    3       3.27
CILE_Pol_AS1_P120                                    0       0.00
CILE_Pol_AS1_P121                                    0       0.00
CILE_Pol_AS1_P122                                    3       4.85
CILE_Pol_AS1_P123                                    2       2.61
CILE_Pol_AS1_P124                                    1       1.36
CILE_Pol_AS1_P125                                    0       0.00
CILE_Pol_AS1_P126                                    4       5.75
CILE_Pol_AS2_P113                                    2       2.49
CILE_Pol_AS2_P114                                    1       1.35
CILE_Pol_AS2_P116                                    1       0.86
CILE_Pol_AS2_P120                                    0       0.00
CILE_Pol_AS2_P122                                    0       0.00
CILE_Pol_AS2_P123                                    0       0.00
CILE_Pol_AS2_P124                                    0       0.00
CILE_Pol_AS3_P110                                    0       0.00
CILE_Pol_AS3_P111                                    1       1.59
CILE_Pol_AS3_P114                                    0       0.00
CILE_Pol_AS3_P115                                    2       2.43
CILE_Pol_AS3_P117                                    5       7.94
CILE_Pol_AS3_P118                                    2       2.70
CILE_Pol_AS3_P119                                    1       1.18
CILE_Pol_AS3_P121                                    0       0.00
CILE_Pol_AS3_P125                                    4       5.42
CILE_Pol_AS3_P126                                    6       7.91
CILE_Pol_AS3_P127                                    1       1.29
CLA_Pol _AS1_P136                                    1       1.75
CLA_Pol_AS1_P128                                     3       3.54
CLA_Pol_AS1_P129                                     1       1.27
CLA_Pol_AS1_P130                                    10       9.64
CLA_Pol_AS1_P131                                     3       4.26
CLA_Pol_AS1_P132                                     1       1.68
