======================================================================
  AGENCY  –  PER DOCUMENTO
======================================================================

Documento                                      Concept%  AuthID%  SrcAttr%  Impers%
----------------------------------------------------------------------------------
ALSPS_Zot_AS1_P147                                 43.3      0.0       3.0     16.4
ALSPS_Zot_AS1_P149                                 54.5     18.2      18.2      0.0
ALSPS_Zot_AS1_P152                                 44.1      0.0       2.9     23.5
ALSPS_Zot_AS2_P148                                 29.3     22.4       1.7     10.3
ALSPS_Zot_AS2_P155                                 39.0     25.4       1.7      6.8
ALSPS_Zot_AS3_P150                                 48.1      9.6       3.9      5.8
ALSPS_Zot_AS3_P151                                 50.0     20.0       0.0     10.0
ALSPS_Zot_AS3_P153                                 53.6      7.1       7.1     10.7
ALSPS_Zot_AS4_P154                                 55.9      2.9       8.8     14.7
ALSPS_Zot_AS4_P156                                 49.3      0.0       6.7      8.0
AS_Gus_AS1_P171                                    46.5      1.7      10.3      8.6
AS_Gus_AS1_P43                                     47.9      6.7       5.0     10.1
AS_Gus_AS1_P44                                     54.0      4.4       6.2     15.9
AS_Gus_AS1_P46                                     68.3      2.4       2.4      6.5
AS_Gus_AS1_P47                                     51.3      6.2       5.3     12.4
AS_Gus_AS1_P48                                     59.3      2.8       9.3     11.1
AS_Gus_AS1_P51                                     66.7      2.1       5.2     11.5
AS_Gus_AS1_P52                                     62.4      4.0       1.6      8.8
AS_Gus_AS1_P53                                     58.9      8.9       2.2      5.6
AS_Gus_AS2_P44_P45                                 59.1      1.7       7.2      7.2
AS_Gus_AS2_P46_P47                                 59.3      0.4       5.5      7.7
AS_Gus_AS2_P48_P49_P50                             47.7      7.8       6.6      7.0
AS_Gus_AS2_P51_P52                                 63.5      1.0       5.1      5.6
AS_Gus_AS2_P53_P171                                69.0      0.0       5.1     10.1
CILE_Pol_AS1_P110                                  55.6      7.9       1.6      7.9
CILE_Pol_AS1_P111                                  60.0     15.0       0.0     10.0
CILE_Pol_AS1_P112                                  56.8      8.1       0.0     16.2
CILE_Pol_AS1_P113                                  67.5      5.0       0.0     17.5
CILE_Pol_AS1_P114                                  62.5      8.3       0.0     25.0
CILE_Pol_AS1_P115                                  56.4      5.1       0.0     20.5
CILE_Pol_AS1_P116                                  60.5      9.9       0.0      9.9
CILE_Pol_AS1_P117                                  55.1     20.4       0.0      4.1
CILE_Pol_AS1_P118                                  56.6      9.4       0.0     11.3
CILE_Pol_AS1_P119                                  60.0      6.7       0.0     10.0
CILE_Pol_AS1_P120                                  68.8      6.2       0.0     15.6
CILE_Pol_AS1_P121                                  43.9     17.5       1.8     14.0
CILE_Pol_AS1_P122                                  48.8      4.7       0.0     16.3
CILE_Pol_AS1_P123                                  61.4      5.3       0.0      7.0
CILE_Pol_AS1_P124                                  47.6      7.9       0.0     12.7
CILE_Pol_AS1_P125                                  63.5      3.2       4.8      6.3
