======================================================================
  COESIONE  –  PER DOCUMENTO
======================================================================

Documento                                      Tot mark  Den/100s  Div idx
---------------------------------------------------------------------------
ALSPS_Zot_AS1_P147                                    8     20.51    0.375
ALSPS_Zot_AS1_P149                                    4     21.05    1.000
ALSPS_Zot_AS1_P152                                    4     14.29    0.500
ALSPS_Zot_AS2_P148                                    7     26.92    0.714
ALSPS_Zot_AS2_P155                                    2      7.14    0.500
ALSPS_Zot_AS3_P150                                    6     17.65    0.667
ALSPS_Zot_AS3_P151                                    1      3.23    1.000
ALSPS_Zot_AS3_P153                                    1      2.38    1.000
ALSPS_Zot_AS4_P154                                    3     10.34    0.333
ALSPS_Zot_AS4_P156                                   16     30.77    0.438
AS_Gus_AS1_P171                                      25     38.46    0.280
AS_Gus_AS1_P43                                       31     63.27    0.290
AS_Gus_AS1_P44                                       31     45.59    0.258
AS_Gus_AS1_P46                                       16     19.51    0.438
AS_Gus_AS1_P47                                       29     43.94    0.448
AS_Gus_AS1_P48                                       31     51.67    0.419
AS_Gus_AS1_P51                                       25     43.10    0.360
AS_Gus_AS1_P52                                       28     43.08    0.393
AS_Gus_AS1_P53                                       16     24.24    0.688
AS_Gus_AS2_P44_P45                                   49     24.14    0.327
AS_Gus_AS2_P46_P47                                   42     15.97    0.333
AS_Gus_AS2_P48_P49_P50                               81     24.85    0.259
AS_Gus_AS2_P51_P52                                   40     23.95    0.400
AS_Gus_AS2_P53_P171                                  40     22.10    0.350
CILE_Pol_AS1_P110                                    10     25.00    0.300
CILE_Pol_AS1_P111                                     6     26.09    0.667
CILE_Pol_AS1_P112                                     4     14.81    1.000
CILE_Pol_AS1_P113                                    11     47.83    0.273
CILE_Pol_AS1_P114                                     2      9.09    1.000
CILE_Pol_AS1_P115                                     7     26.92    0.571
CILE_Pol_AS1_P116                                    12     23.53    0.417
CILE_Pol_AS1_P117                                     7     18.42    0.714
CILE_Pol_AS1_P118                                     7     21.21    0.429
CILE_Pol_AS1_P119                                     3      8.33    0.667
CILE_Pol_AS1_P120                                     4     19.05    0.500
CILE_Pol_AS1_P121                                     7     17.07    0.571
CILE_Pol_AS1_P122                                     9     42.86    0.333
CILE_Pol_AS1_P123                                    13     43.33    0.615
CILE_Pol_AS1_P124                                     5     13.89    0.600
CILE_Pol_AS1_P125                                    12     32.43    0.333
CILE_Pol_AS1_P126                                     9     31.03    0.667
CILE_Pol_AS2_P113                                     7     20.59    0.714
CILE_Pol_AS2_P114                                     6     17.65    1.000
CILE_Pol_AS2_P116                                    12     20.34    0.500
CILE_Pol_AS2_P120                                     2      9.09    1.000
CILE_Pol_AS2_P122                                     6     28.57    0.833
CILE_Pol_AS2_P123                                    14     45.16    0.786
CILE_Pol_AS2_P124                                     5     16.67    0.600
CILE_Pol_AS3_P110                                    11     20.37    0.364
CILE_Pol_AS3_P111                                     7     28.00    0.429
CILE_Pol_AS3_P114                                     3     10.71    1.000
CILE_Pol_AS3_P115                                    13     37.14    0.692
CILE_Pol_AS3_P117                                     6     20.69    0.500
CILE_Pol_AS3_P118                                    11     26.19    0.364
CILE_Pol_AS3_P119                                     9     23.08    0.556
CILE_Pol_AS3_P121                                    15     22.39    0.333
CILE_Pol_AS3_P125                                    12     42.86    0.417
CILE_Pol_AS3_P126                                    20     58.82    0.400
CILE_Pol_AS3_P127                                     7     15.56    0.429
CLA_Pol _AS1_P136                                     3     13.04    1.000
CLA_Pol_AS1_P128                                     13     43.33    0.462
CLA_Pol_AS1_P129                                      9     31.03    0.444
CLA_Pol_AS1_P130                                     17     36.17    0.471
CLA_Pol_AS1_P131                                      6     22.22    0.833
CLA_Pol_AS1_P132                                      9     33.33    0.556
CLA_Pol_AS1_P133                                      9     15.00    0.667
CLA_Pol_AS1_P134                                      8     25.81    0.375
CLA_Pol_AS1_P135                                      4     14.29    0.750
CLA_Pol_AS1_P137                                      5     25.00    0.600
CLA_Pol_AS1_P138                                      3     14.29    0.667
