======================================================================
  DEPENDENCY PARSING  –  PER DOCUMENTO
======================================================================

Documento                                      Top-5 label
----------------------------------------------------------------------
ALSPS_Zot_AS1_P147                             []
ALSPS_Zot_AS1_P149                             []
ALSPS_Zot_AS1_P152                             []
ALSPS_Zot_AS2_P148                             []
ALSPS_Zot_AS2_P155                             []
ALSPS_Zot_AS3_P150                             []
ALSPS_Zot_AS3_P151                             []
ALSPS_Zot_AS3_P153                             []
ALSPS_Zot_AS4_P154                             []
ALSPS_Zot_AS4_P156                             []
AS_Gus_AS1_P171                                []
AS_Gus_AS1_P43                                 []
AS_Gus_AS1_P44                                 []
AS_Gus_AS1_P46                                 []
AS_Gus_AS1_P47                                 []
AS_Gus_AS1_P48                                 []
AS_Gus_AS1_P51                                 []
AS_Gus_AS1_P52                                 []
AS_Gus_AS1_P53                                 []
AS_Gus_AS2_P44_P45                             []
AS_Gus_AS2_P46_P47                             []
AS_Gus_AS2_P48_P49_P50                         []
AS_Gus_AS2_P51_P52                             []
AS_Gus_AS2_P53_P171                            []
CILE_Pol_AS1_P110                              []
CILE_Pol_AS1_P111                              []
CILE_Pol_AS1_P112                              []
CILE_Pol_AS1_P113                              []
CILE_Pol_AS1_P114                              []
CILE_Pol_AS1_P115                              []
CILE_Pol_AS1_P116                              []
CILE_Pol_AS1_P117                              []
CILE_Pol_AS1_P118                              []
CILE_Pol_AS1_P119                              []
CILE_Pol_AS1_P120                              []
CILE_Pol_AS1_P121                              []
CILE_Pol_AS1_P122                              []
CILE_Pol_AS1_P123                              []
CILE_Pol_AS1_P124                              []
CILE_Pol_AS1_P125                              []
CILE_Pol_AS1_P126                              []
CILE_Pol_AS2_P113                              []
CILE_Pol_AS2_P114                              []
CILE_Pol_AS2_P116                              []
CILE_Pol_AS2_P120                              []
CILE_Pol_AS2_P122                              []
CILE_Pol_AS2_P123                              []
CILE_Pol_AS2_P124                              []
CILE_Pol_AS3_P110                              []
CILE_Pol_AS3_P111                              []
CILE_Pol_AS3_P114                              []
CILE_Pol_AS3_P115                              []
CILE_Pol_AS3_P117                              []
CILE_Pol_AS3_P118                              []
CILE_Pol_AS3_P119                              []
CILE_Pol_AS3_P121                              []
CILE_Pol_AS3_P125                              []
CILE_Pol_AS3_P126                              []
CILE_Pol_AS3_P127                              []
CLA_Pol _AS1_P136                              []
CLA_Pol_AS1_P128                               []
CLA_Pol_AS1_P129                               []
CLA_Pol_AS1_P130                               []
CLA_Pol_AS1_P131                               []
CLA_Pol_AS1_P132                               []
CLA_Pol_AS1_P133                               []
CLA_Pol_AS1_P134                               []
CLA_Pol_AS1_P135                               []
CLA_Pol_AS1_P137                               []
CLA_Pol_AS1_P138                               []
CLA_Pol_AS1_P139                               []
CLA_Pol_AS1_P140                               []
CLA_Pol_AS1_P141                               []
CLA_Pol_AS1_P142                               []
CLA_Pol_AS1_P143                               []
CLA_Pol_AS1_P144                               []
CLA_Pol_AS1_P145                               []
CLA_Pol_AS1_P146                               []
CPH_Mor_AS1_P1                                 []
CPH_Mor_AS1_P10                                []
CPH_Mor_AS1_P11                                []
CPH_Mor_AS1_P12                                []
CPH_Mor_AS1_P13                                []
CPH_Mor_AS1_P14                                []
CPH_Mor_AS1_P15                                []
CPH_Mor_AS1_P16                                []
CPH_Mor_AS1_P17                                []
CPH_Mor_AS1_P2                                 []
CPH_Mor_AS1_P3                                 []
CPH_Mor_AS1_P4                                 []
CPH_Mor_AS1_P5                                 []
