======================================================================
  KEYWORDS TF-IDF  –  PER DOCUMENTO
======================================================================

ALSPS_Zot_AS1_P147: satire, question structure, freedom speech, problem solution, slippery slope
ALSPS_Zot_AS1_P149: model uses, defined slippery, example justify, justify answer, persuasion
ALSPS_Zot_AS1_P152: persuasion, model persuasion, satire, discourse, persuasion defined
ALSPS_Zot_AS2_P148: meaning word, accusation, repetition, denotational meaning, interruption
ALSPS_Zot_AS2_P155: elements, facework, denotational meaning, connotational, interviewee
ALSPS_Zot_AS3_P150: speaker, public schools, mutually exclusive, mutually, affirms
ALSPS_Zot_AS3_P151: sarcasm, questioner, comparison contrast, comparison, idea evaluate
ALSPS_Zot_AS3_P153: persuasion, appeals, persuasion appeal, emotions, pathos
ALSPS_Zot_AS4_P154: boo, hooray, boo words, connotation, emotions
ALSPS_Zot_AS4_P156: boo, hooray, technique person, irony, persuasion
AS_Gus_AS1_P171: globalization, ferguson, hopping, globe hopping, globe
AS_Gus_AS1_P43: global shadow, shadow, africa period, exploitation resources, continent
AS_Gus_AS1_P44: ferguson 2006, ferguson, 2006, convergence, globalization
AS_Gus_AS1_P46: globalisation, botswana, urbanisation, globalised, globalisation africa
AS_Gus_AS1_P47: percent, convergence, globalization, naidoo, ted talk
AS_Gus_AS1_P48: global shadow, global economy, globalization, pillay, enclaves
AS_Gus_AS1_P51: chap, chap pag, pag, global south, western
AS_Gus_AS1_P52: ferguson 2006, ferguson, 2006, better life, global north
AS_Gus_AS1_P53: modernity, modernity development, karlstrom, karlstrom 2004, modernities
AS_Gus_AS2_P44_P45: nigeria, women education, tratto, tratto da, da https
AS_Gus_AS2_P46_P47: surveillance, digital, digital authoritarianism, authoritarianism, internet
AS_Gus_AS2_P48_P49_P50: transgender, transgender people, source https, apartheid, lgbtqi
AS_Gus_AS2_P51_P52: orientalism, italian, faccetta, nera, faccetta nera
AS_Gus_AS2_P53_P171: food, food insecurity, insecurity, urbanization, food desert
CILE_Pol_AS1_P110: position held, dominant position, market share, ex, ex post
CILE_Pol_AS1_P111: start procedure, dominant position, procedure, protection shareholders, undertaking
CILE_Pol_AS1_P112: rules ex, point view, ex, dominant position, ex ante
