======================================================================
  MORFOLOGIA  –  PER DOCUMENTO
======================================================================

Documento                                        TTR  Lemmi uniq   NOUN%   VERB%
------------------------------------------------------------------------------
ALSPS_Zot_AS1_P147                             0.216         203    19.4    11.4
ALSPS_Zot_AS1_P149                             0.255          52    27.0    12.2
ALSPS_Zot_AS1_P152                             0.213         116    24.4    10.8
ALSPS_Zot_AS2_P148                             0.233         174    20.2    13.4
ALSPS_Zot_AS2_P155                             0.197         162    22.2    11.2
ALSPS_Zot_AS3_P150                             0.187         153    20.1    10.4
ALSPS_Zot_AS3_P151                             0.210         116    24.3    10.3
ALSPS_Zot_AS3_P153                             0.246         182    27.3     6.1
ALSPS_Zot_AS4_P154                             0.250         129    23.4    11.6
ALSPS_Zot_AS4_P156                             0.211         236    18.8    12.2
AS_Gus_AS1_P171                                0.199         404    18.8     9.7
AS_Gus_AS1_P43                                 0.184         380    19.4     9.3
AS_Gus_AS1_P44                                 0.205         450    19.9     8.8
AS_Gus_AS1_P46                                 0.240         482    21.5     9.6
AS_Gus_AS1_P47                                 0.216         469    20.2     8.2
AS_Gus_AS1_P48                                 0.248         469    21.3     9.4
AS_Gus_AS1_P51                                 0.204         447    19.5     7.5
AS_Gus_AS1_P52                                 0.211         475    18.3     9.7
AS_Gus_AS1_P53                                 0.237         511    20.3     9.2
AS_Gus_AS2_P44_P45                             0.165         891    22.1     8.2
AS_Gus_AS2_P46_P47                             0.172         955    21.8     8.6
AS_Gus_AS2_P48_P49_P50                         0.164        1668    19.0     7.9
AS_Gus_AS2_P51_P52                             0.214        1055    18.4     7.1
AS_Gus_AS2_P53_P171                            0.175         843    23.2     6.7
CILE_Pol_AS1_P110                              0.197         184    24.4     9.9
CILE_Pol_AS1_P111                              0.230         159    25.5     8.5
CILE_Pol_AS1_P112                              0.228         143    23.6     9.2
CILE_Pol_AS1_P113                              0.204         146    25.5     8.4
CILE_Pol_AS1_P114                              0.239          81    28.9     7.4
CILE_Pol_AS1_P115                              0.267         166    25.6     8.2
CILE_Pol_AS1_P116                              0.226         269    25.2     9.9
CILE_Pol_AS1_P117                              0.231         194    26.5     8.1
CILE_Pol_AS1_P118                              0.231         185    26.6     8.5
CILE_Pol_AS1_P119                              0.235         253    29.2     9.5
CILE_Pol_AS1_P120                              0.212          91    25.9     9.3
CILE_Pol_AS1_P121                              0.212         181    27.2    11.6
CILE_Pol_AS1_P122                              0.220         151    23.6     9.9
CILE_Pol_AS1_P123                              0.235         211    25.4    10.1
CILE_Pol_AS1_P124                              0.217         181    23.4    10.7
CILE_Pol_AS1_P125                              0.202         201    23.7     8.2
CILE_Pol_AS1_P126                              0.238         192    25.6     8.9
CILE_Pol_AS2_P113                              0.172         157    26.0    11.2
CILE_Pol_AS2_P114                              0.280         228    30.3    10.9
CILE_Pol_AS2_P116                              0.227         308    22.6    11.3
CILE_Pol_AS2_P120                              0.194          96    27.7    11.3
CILE_Pol_AS2_P122                              0.224         151    25.4    12.2
CILE_Pol_AS2_P123                              0.216         215    25.1    11.5
CILE_Pol_AS2_P124                              0.221         177    24.8    11.2
CILE_Pol_AS3_P110                              0.191         196    19.7    10.0
CILE_Pol_AS3_P111                              0.226         165    22.8    10.3
CILE_Pol_AS3_P114                              0.253         161    29.4    11.8
CILE_Pol_AS3_P115                              0.240         221    24.2    10.1
CILE_Pol_AS3_P117                              0.259         187    24.8    10.7
CILE_Pol_AS3_P118                              0.217         188    24.6     9.7
CILE_Pol_AS3_P119                              0.227         224    27.1     8.2
CILE_Pol_AS3_P121                              0.231         321    26.7    10.1
CILE_Pol_AS3_P125                              0.213         180    24.4    10.3
CILE_Pol_AS3_P126                              0.230         200    22.1     9.5
CILE_Pol_AS3_P127                              0.259         235    22.8    11.4
CLA_Pol _AS1_P136                              0.258         176    26.2     9.7
CLA_Pol_AS1_P128                               0.217         212    24.3    10.2
CLA_Pol_AS1_P129                               0.233         207    24.7    11.5
CLA_Pol_AS1_P130                               0.185         226    22.3    10.6
CLA_Pol_AS1_P131                               0.279         220    26.0    11.0
CLA_Pol_AS1_P132                               0.226         152    26.1    11.1
CLA_Pol_AS1_P133                               0.186         231    24.7    10.1
CLA_Pol_AS1_P134                               0.188         147    25.3    10.1
CLA_Pol_AS1_P135                               0.218         176    25.0    12.3
CLA_Pol_AS1_P137                               0.231         101    22.9     9.6
CLA_Pol_AS1_P138                               0.191         159    24.1    10.3
CLA_Pol_AS1_P139                               0.278          80    25.7    10.1
CLA_Pol_AS1_P140                               0.237         113    24.3    10.7
CLA_Pol_AS1_P141                               0.256         124    25.8    12.2
CLA_Pol_AS1_P142                               0.263         196    24.4    11.1
CLA_Pol_AS1_P143                               0.259         133    24.3    11.3
CLA_Pol_AS1_P144                               0.260         184    22.2    12.0
CLA_Pol_AS1_P145                               0.234         145    25.8    12.1
CLA_Pol_AS1_P146                               0.249         125    26.4    11.2
CPH_Mor_AS1_P1                                 0.257          95    23.0     6.0
CPH_Mor_AS1_P10                                0.278         124    19.3     8.7
CPH_Mor_AS1_P11                                0.245         253    22.9     8.6
CPH_Mor_AS1_P12                                0.209         182    15.3     9.9
CPH_Mor_AS1_P13                                0.276         302    19.8     9.4
CPH_Mor_AS1_P14                                0.285         203    16.7    12.2
CPH_Mor_AS1_P15                                0.316         254    19.0    10.1
CPH_Mor_AS1_P16                                0.336         286    24.1     9.4
CPH_Mor_AS1_P17                                0.261         334    19.9    10.1
CPH_Mor_AS1_P2                                 0.281         274    19.6    10.5
CPH_Mor_AS1_P3                                 0.255         201    19.1    10.7
CPH_Mor_AS1_P4                                 0.270         284    18.4    11.0
CPH_Mor_AS1_P5                                 0.318         122    25.3     8.6
CPH_Mor_AS1_P6                                 0.297         213    21.4    10.6
CPH_Mor_AS1_P7                                 0.328         297    21.4     9.9
CPH_Mor_AS1_P8                                 0.257         176    18.5     8.9
CPH_Mor_AS1_P9                                 0.230         243    19.9    11.5
CPH_Mor_AS2_P1                                 0.154          67    22.8     6.7
CPH_Mor_AS2_P18                                0.274         174    22.3     9.6
