======================================================================
  NOMINALIZZAZIONI  –  PER DOCUMENTO
======================================================================

Documento                                       Totale  Density/100
--------------------------------------------------------------------
ALSPS_Zot_AS1_P147                                  32         3.78
ALSPS_Zot_AS1_P149                                  13         7.56
ALSPS_Zot_AS1_P152                                  23         4.70
ALSPS_Zot_AS2_P148                                  37         5.61
ALSPS_Zot_AS2_P155                                  37         5.08
ALSPS_Zot_AS3_P150                                  26         3.66
ALSPS_Zot_AS3_P151                                  34         7.28
ALSPS_Zot_AS3_P153                                  54         9.68
ALSPS_Zot_AS4_P154                                  20         4.44
ALSPS_Zot_AS4_P156                                  39         4.10
AS_Gus_AS1_P171                                     98         5.57
AS_Gus_AS1_P43                                      80         4.27
AS_Gus_AS1_P44                                      85         4.60
AS_Gus_AS1_P46                                      89         5.09
AS_Gus_AS1_P47                                      87         4.65
AS_Gus_AS1_P48                                      96         5.91
AS_Gus_AS1_P51                                      90         4.73
AS_Gus_AS1_P52                                      74         3.81
AS_Gus_AS1_P53                                     106         5.76
AS_Gus_AS2_P44_P45                                 250         5.56
AS_Gus_AS2_P46_P47                                 232         4.92
AS_Gus_AS2_P48_P49_P50                             320         3.69
AS_Gus_AS2_P51_P52                                 163         3.93
AS_Gus_AS2_P53_P171                                244         6.04
CILE_Pol_AS1_P110                                   44         5.38
CILE_Pol_AS1_P111                                   31         5.11
CILE_Pol_AS1_P112                                   19         3.63
CILE_Pol_AS1_P113                                   28         4.38
CILE_Pol_AS1_P114                                   23         7.77
CILE_Pol_AS1_P115                                   31         5.61
CILE_Pol_AS1_P116                                   60         5.73
CILE_Pol_AS1_P117                                   60         7.91
CILE_Pol_AS1_P118                                   50         7.11
CILE_Pol_AS1_P119                                   49         5.27
CILE_Pol_AS1_P120                                   29         7.46
CILE_Pol_AS1_P121                                   44         5.87
CILE_Pol_AS1_P122                                   33         5.31
CILE_Pol_AS1_P123                                   43         5.50
CILE_Pol_AS1_P124                                   34         4.55
CILE_Pol_AS1_P125                                   50         5.75
CILE_Pol_AS1_P126                                   41         5.82
CILE_Pol_AS2_P113                                   36         4.44
CILE_Pol_AS2_P114                                   44         5.86
CILE_Pol_AS2_P116                                   60         5.12
CILE_Pol_AS2_P120                                   34         7.44
CILE_Pol_AS2_P122                                   37         5.87
CILE_Pol_AS2_P123                                   37         4.27
CILE_Pol_AS2_P124                                   37         5.01
CILE_Pol_AS3_P110                                   24         2.60
CILE_Pol_AS3_P111                                   33         5.19
CILE_Pol_AS3_P114                                   22         3.87
CILE_Pol_AS3_P115                                   36         4.36
CILE_Pol_AS3_P117                                   37         5.85
CILE_Pol_AS3_P118                                   44         5.85
CILE_Pol_AS3_P119                                   50         5.81
CILE_Pol_AS3_P121                                   73         5.91
CILE_Pol_AS3_P125                                   30         4.02
CILE_Pol_AS3_P126                                   27         3.52
CILE_Pol_AS3_P127                                   39         4.94
CLA_Pol _AS1_P136                                   34         5.86
CLA_Pol_AS1_P128                                    42         4.94
CLA_Pol_AS1_P129                                    37         4.66
CLA_Pol_AS1_P130                                    36         3.41
CLA_Pol_AS1_P131                                    36         5.06
CLA_Pol_AS1_P132                                    32         5.32
CLA_Pol_AS1_P133                                    51         4.62
