======================================================================
  TOKENIZZAZIONE  –  PER DOCUMENTO
======================================================================

Documento                                      Frasi   Token  Avg sl  Avg dep
---------------------------------------------------------------------------
ALSPS_Zot_AS1_P147                                39     847   21.72     7.26
ALSPS_Zot_AS1_P149                                18     172    9.56     4.89
ALSPS_Zot_AS1_P152                                29     489   16.86     6.76
ALSPS_Zot_AS2_P148                                29     659   22.72     6.76
ALSPS_Zot_AS2_P155                                28     729   26.04     7.71
ALSPS_Zot_AS3_P150                                35     711   20.31     6.86
ALSPS_Zot_AS3_P151                                33     467   14.15     5.94
ALSPS_Zot_AS3_P153                                39     558   14.31     5.72
ALSPS_Zot_AS4_P154                                28     450   16.07     6.18
ALSPS_Zot_AS4_P156                                52     951   18.29     6.69
AS_Gus_AS1_P171                                   61    1759   28.84     8.34
AS_Gus_AS1_P43                                    49    1872   38.20     9.37
AS_Gus_AS1_P44                                    53    1847   34.85     9.11
AS_Gus_AS1_P46                                    81    1749   21.59     6.98
AS_Gus_AS1_P47                                    68    1869   27.49     7.85
AS_Gus_AS1_P48                                    58    1624   28.00     7.83
AS_Gus_AS1_P51                                    59    1903   32.25     8.15
AS_Gus_AS1_P52                                    65    1943   29.89     7.95
AS_Gus_AS1_P53                                    58    1841   31.74     8.41
AS_Gus_AS2_P44_P45                               198    4498   22.72     7.15
AS_Gus_AS2_P46_P47                               229    4712   20.58     7.11
AS_Gus_AS2_P48_P49_P50                           342    8671   25.35     7.51
AS_Gus_AS2_P51_P52                               157    4145   26.40     7.55
AS_Gus_AS2_P53_P171                              152    4039   26.57     7.70
CILE_Pol_AS1_P110                                 37     818   22.11     6.59
CILE_Pol_AS1_P111                                 21     607   28.90     7.71
CILE_Pol_AS1_P112                                 28     524   18.71     7.04
CILE_Pol_AS1_P113                                 24     640   26.67     7.00
CILE_Pol_AS1_P114                                 21     296   14.10     6.38
CILE_Pol_AS1_P115                                 26     553   21.27     7.27
CILE_Pol_AS1_P116                                 52    1048   20.15     7.17
CILE_Pol_AS1_P117                                 35     759   21.69     7.34
CILE_Pol_AS1_P118                                 33     703   21.30     7.21
CILE_Pol_AS1_P119                                 34     930   27.35     7.97
CILE_Pol_AS1_P120                                 21     389   18.52     6.86
CILE_Pol_AS1_P121                                 43     750   17.44     6.53
CILE_Pol_AS1_P122                                 20     621   31.05     7.90
CILE_Pol_AS1_P123                                 29     782   26.97     7.59
CILE_Pol_AS1_P124                                 36     748   20.78     6.67
CILE_Pol_AS1_P125                                 31     870   28.06     7.77
CILE_Pol_AS1_P126                                 30     704   23.47     7.17
CILE_Pol_AS2_P113                                 33     810   24.55     7.30
CILE_Pol_AS2_P114                                 33     751   22.76     7.91
CILE_Pol_AS2_P116                                 57    1172   20.56     6.67
CILE_Pol_AS2_P120                                 21     457   21.76     6.67
CILE_Pol_AS2_P122                                 20     630   31.50     7.95
CILE_Pol_AS2_P123                                 30     866   28.87     7.53
CILE_Pol_AS2_P124                                 29     738   25.45     7.24
CILE_Pol_AS3_P110                                 53     923   17.42     6.08
CILE_Pol_AS3_P111                                 22     636   28.91     7.68
CILE_Pol_AS3_P114                                 25     568   22.72     7.40
CILE_Pol_AS3_P115                                 32     825   25.78     7.78
CILE_Pol_AS3_P117                                 25     632   25.28     7.96
CILE_Pol_AS3_P118                                 38     752   19.79     6.26
CILE_Pol_AS3_P119                                 36     861   23.92     7.69
CILE_Pol_AS3_P121                                 60    1235   20.58     6.70
CILE_Pol_AS3_P125                                 23     746   32.43     8.30
CILE_Pol_AS3_P126                                 31     766   24.71     6.58
CILE_Pol_AS3_P127                                 39     789   20.23     6.74
CLA_Pol _AS1_P136                                 22     580   26.36     7.05
CLA_Pol_AS1_P128                                  27     851   31.52     8.26
CLA_Pol_AS1_P129                                  29     794   27.38     8.41
CLA_Pol_AS1_P130                                  42    1055   25.12     7.57
CLA_Pol_AS1_P131                                  29     712   24.55     7.10
CLA_Pol_AS1_P132                                  27     602   22.30     6.96
CLA_Pol_AS1_P133                                  61    1103   18.08     6.52
CLA_Pol_AS1_P134                                  31     717   23.13     7.81
CLA_Pol_AS1_P135                                  27     724   26.81     8.00
CLA_Pol_AS1_P137                                  20     383   19.15     6.05
CLA_Pol_AS1_P138                                  21     791   37.67     9.43
CLA_Pol_AS1_P139                                  13     262   20.15     6.69
CLA_Pol_AS1_P140                                  21     423   20.14     6.62
CLA_Pol_AS1_P141                                  20     439   21.95     6.40
CLA_Pol_AS1_P142                                  24     692   28.83     7.79
CLA_Pol_AS1_P143                                  25     447   17.88     6.12
CLA_Pol_AS1_P144                                  23     642   27.91     7.74
CLA_Pol_AS1_P145                                  27     563   20.85     7.63
CLA_Pol_AS1_P146                                  24     462   19.25     7.04
CPH_Mor_AS1_P1                                    25     324   12.96     5.08
CPH_Mor_AS1_P10                                   16     393   24.56     7.62
CPH_Mor_AS1_P11                                   33     910   27.58     7.24
CPH_Mor_AS1_P12                                   44     747   16.98     5.59
CPH_Mor_AS1_P13                                   42     978   23.29     7.33
CPH_Mor_AS1_P14                                   30     633   21.10     6.43
CPH_Mor_AS1_P15                                   28     735   26.25     7.64
CPH_Mor_AS1_P16                                   34     768   22.59     7.29
CPH_Mor_AS1_P17                                   52    1159   22.29     7.37
CPH_Mor_AS1_P2                                    39     856   21.95     7.36
CPH_Mor_AS1_P3                                    31     681   21.97     6.94
CPH_Mor_AS1_P4                                    33     955   28.94     7.58
CPH_Mor_AS1_P5                                    11     350   31.82     9.55
CPH_Mor_AS1_P6                                    26     644   24.77     7.69
CPH_Mor_AS1_P7                                    33     849   25.73     7.70
CPH_Mor_AS1_P8                                    32     618   19.31     6.59
CPH_Mor_AS1_P9                                    42     936   22.29     6.98
CPH_Mor_AS2_P1                                    30     389   12.97     5.20
CPH_Mor_AS2_P18                                   24     560   23.33     8.04
CPH_Mor_AS2_P19                                   25     813   32.52     8.84
CPH_Mor_AS2_P20                                   32     726   22.69     7.69
CPH_Mor_AS2_P21                                   43     798   18.56     6.56
CPH_Mor_AS2_P22                                   48    1226   25.54     7.79
CPH_Mor_AS2_P23                                   30     615   20.50     7.37
CPH_Mor_AS2_P24                                   26     583   22.42     7.65
CPH_Mor_AS2_P25                                   31     779   25.13     7.55
CPH_Mor_AS2_P26                                   27     928   34.37     8.78
CPH_Mor_AS2_P27                                   33     461   13.97     5.27
CPH_Mor_AS2_P28                                   34     742   21.82     7.76
CPH_Mor_AS2_P29                                   39     773   19.82     6.31
CPH_Mor_AS2_P30                                   36     897   24.92     8.50
DEIC_San_AS1_P35_P38_P41_P164                    137    2563   18.71     6.48
ELClass_Zot_AS1_P157                              32     580   18.12     6.41
ELClass_Zot_AS2_P158                              16     239   14.94     6.12
ELClass_Zot_AS2_P159                              27     559   20.70     6.96
ELClass_Zot_AS2_P161                              17     245   14.41     5.65
ELClass_Zot_AS2_P163                              26     336   12.92     5.88
ELClass_Zot_AS3_P160                              24     430   17.92     6.12
ELClass_Zot_AS3_P162                              23     335   14.57     5.39
EOK_Geu_AS1_P34                                   38     786   20.68     7.11
EOK_Geu_AS1_P35                                   33     616   18.67     6.82
EOK_Geu_AS1_P36                                   40     572   14.30     5.90
EOK_Geu_AS1_P37                                   33     630   19.09     7.12
EOK_Geu_AS1_P38                                   24     578   24.08     7.25
EOK_Geu_AS1_P39                                   46     794   17.26     6.46
EOK_Geu_AS2_P34_P35_P40                          232    4804   20.71     7.22
EOK_Geu_AS2_P39_P164_P165                        267    4302   16.11     5.95
EOK_Geu_AS3_P164                                  30     864   28.80     7.30
EOK_Geu_AS3_P165                                  49     742   15.14     6.06
EOK_Geu_AS3_P40                                   13     315   24.23     7.69
EOK_Geu_AS3_P41                                   38     818   21.53     7.50
EOK_Geu_AS3_P42                                   48     775   16.15     5.48
GLD_Gog_AS1_P169_P170                            103    2690   26.12     7.53
GLD_Gog_AS1_P16_P167_P168                         86    2735   31.80     9.09
GLD_Gog_AS1_P26                                   93    2866   30.82     7.19
GLD_Gog_AS1_P31_P32_P33                           91    2833   31.13     9.22
NAL_Car_AS1_P100                                  15     422   28.13     9.07
NAL_Car_AS1_P101                                  20     560   28.00     8.15
NAL_Car_AS1_P102                                  63    1091   17.32     6.51
NAL_Car_AS1_P103                                  15     538   35.87     8.73
NAL_Car_AS1_P104                                  25     608   24.32     7.68
NAL_Car_AS1_P172                                  23     924   40.17    10.30
NAL_Car_AS1_P98                                   33     862   26.12     8.24
NAL_Car_AS1_P99                                   32     780   24.38     7.06
NAL_DiL_AS1_P105                                  59    1478   25.05     7.64
NAL_DiL_AS1_P106                                  63    1399   22.21     7.11
NAL_DiL_AS1_P107                                  52    1222   23.50     7.12
NAL_DiL_AS1_P108                                  45    1198   26.62     7.58
NAL_DiL_AS1_P109                                  72    1271   17.65     6.22
NAL_DiL_AS1_P166                                  54    1164   21.56     6.63
SCSA_Bon_AS1_P54                                  20     377   18.85     6.15
SCSA_Bon_AS1_P55                                  27     664   24.59     7.52
SCSA_Bon_AS1_P56                                  28     483   17.25     5.82
SCSA_Bon_AS1_P57                                  37    1024   27.68     7.27
SCSA_Bon_AS1_P58                                  52     971   18.67     6.33
SCSA_Bon_AS1_P59                                  37     618   16.70     5.68
SCSA_Bon_AS1_P60                                  39     883   22.64     6.44
SCSA_Bon_AS1_P61                                  77    1640   21.30     6.36
SCSA_Bon_AS1_P62                                  20     482   24.10     7.20
SCSA_Bon_AS1_P63                                  59     918   15.56     5.75
SCSA_Bon_AS1_P64                                  41     634   15.46     5.46
SCSA_Bon_AS1_P65                                  37     570   15.41     5.22
SCSA_Bon_AS1_P66                                  31     623   20.10     6.29
SCSA_Bon_AS1_P67                                  24     541   22.54     6.88
SCSA_Bon_AS1_P68                                  25     415   16.60     5.84
SCSA_Bon_AS1_P69                                  35     580   16.57     6.00
SCSA_Bon_AS1_P70                                  46     849   18.46     6.00
SCSA_Bon_AS1_P71                                  43     943   21.93     6.79
SCSA_Bon_AS1_P72                                  28     424   15.14     6.04
SCSA_Bon_AS2_P54                                  38     629   16.55     6.76
SCSA_Bon_AS2_P56                                  45     773   17.18     5.96
SCSA_Bon_AS2_P62                                  22     428   19.45     6.59
SCSA_Bon_AS2_P67                                  33     614   18.61     6.52
SCSA_Bon_AS2_P68                                  41     668   16.29     6.05
SCSA_Bon_AS2_P69                                  55    1027   18.67     6.44
SCSA_Bon_AS2_P70                                  48     752   15.67     5.71
SCSA_Bon_AS2_P72                                  28     405   14.46     5.79
SCSA_Bon_AS2_P73                                  40     879   21.98     7.25
SCSA_Bon_AS2_P74                                  45     735   16.33     6.44
SCSA_Bon_AS2_P75                                  37     630   17.03     6.62
SCSA_Bon_AS2_P76                                  29     439   15.14     5.79
SCSA_Bon_AS2_P77                                  54    1148   21.26     7.06
SCSA_Bon_AS2_P78                                  26     420   16.15     5.92
SCSA_Bon_AS2_P79                                  21     307   14.62     6.38
SCSA_Bon_AS2_P80                                  53     872   16.45     6.38
SCSA_Bon_AS2_P81                                  46     880   19.13     6.85
SCSA_Bon_AS2_P82                                  40     676   16.90     6.00
SCSA_Bon_AS2_P83                                  25     453   18.12     6.48
SCSA_Bon_AS2_P84                                  22     259   11.77     5.32
SCSA_Bon_AS2_P85                                  26     407   15.65     5.77
SCSA_Bon_AS2_P86                                  34     586   17.24     6.38
SCSA_Bon_AS2_P87                                  44     765   17.39     6.45
SCSA_Bon_AS2_P88                                  44     545   12.39     5.20
SCSA_Bon_AS2_P89                                  41     684   16.68     6.10
SCSA_Bon_AS2_P90                                  39     901   23.10     7.41
SCSA_Bon_AS2_P91                                  41     979   23.88     7.02
SCSA_Bon_AS2_P92                                  69    1298   18.81     6.57
SCSA_Bon_AS2_P93                                  60    1184   19.73     6.60
SCSA_Bon_AS2_P94                                  40     708   17.70     6.10
SCSA_Bon_AS2_P95                                  50     896   17.92     6.54
SCSA_Bon_AS2_P96                                  75    1314   17.52     6.35
SCSA_Bon_AS2_P97                                  32     705   22.03     7.22
