======================================================================
  ANALISI VERBI  –  PER DOCUMENTO
======================================================================

Documento                                      Tot verbi  Passivo%  Mod tot
---------------------------------------------------------------------------
ALSPS_Zot_AS1_P147                                   188      18.7       36
ALSPS_Zot_AS1_P149                                    29       4.0        2
ALSPS_Zot_AS1_P152                                    87      20.3       10
ALSPS_Zot_AS2_P148                                   138       8.0       26
ALSPS_Zot_AS2_P155                                   144       9.8       23
ALSPS_Zot_AS3_P150                                   150      14.1       38
ALSPS_Zot_AS3_P151                                    83       5.3        6
ALSPS_Zot_AS3_P153                                    59      15.6        0
ALSPS_Zot_AS4_P154                                    94      15.0       18
ALSPS_Zot_AS4_P156                                   210      16.2       26
AS_Gus_AS1_P171                                      302      15.2       24
AS_Gus_AS1_P43                                       302      14.0       24
AS_Gus_AS1_P44                                       282      13.0       17
AS_Gus_AS1_P46                                       296      11.9        9
AS_Gus_AS1_P47                                       301      10.7       22
AS_Gus_AS1_P48                                       276      15.8       19
AS_Gus_AS1_P51                                       262      14.6       22
AS_Gus_AS1_P52                                       326      14.8       53
AS_Gus_AS1_P53                                       281      12.7       24
AS_Gus_AS2_P44_P45                                   622       9.7       40
AS_Gus_AS2_P46_P47                                   706      16.0       40
AS_Gus_AS2_P48_P49_P50                              1209      17.0      106
AS_Gus_AS2_P51_P52                                   506      16.5       33
AS_Gus_AS2_P53_P171                                  488      14.0       50
CILE_Pol_AS1_P110                                    157      23.9       26
CILE_Pol_AS1_P111                                    106      17.0       27
CILE_Pol_AS1_P112                                     90      13.8        7
CILE_Pol_AS1_P113                                     98      18.3       17
CILE_Pol_AS1_P114                                     46       8.0        6
CILE_Pol_AS1_P115                                     77       9.8       12
CILE_Pol_AS1_P116                                    192      20.3       24
CILE_Pol_AS1_P117                                    114      10.3       10
CILE_Pol_AS1_P118                                    110      13.2       27
CILE_Pol_AS1_P119                                    149      10.8       23
CILE_Pol_AS1_P120                                     68      17.5        7
CILE_Pol_AS1_P121                                    146       6.1       31
CILE_Pol_AS1_P122                                    114      19.1       23
